case_id,label_1_dice,label_1_iou,label_2_dice,label_2_iou,label_4_dice,label_4_iou,WT_dice,WT_iou,TC_dice,TC_iou,ET_dice,ET_iou,gt_nonzero_voxels,pred_nonzero_voxels
BraTS2021_00048,0.0,0.0,0.0002266224752839542,0.00011332407853357038,0.0,0.0,0.8408080294752327,0.7253397632616436,0.0015453405449223473,0.0007732677534669303,0.0,0.0,84681,79836
BraTS2021_00049,9.621860867890924e-05,4.811161895597324e-05,0.00021189705655723032,0.00010595975455866741,0.0,0.0,0.9099479771116807,0.8347748162519661,0.005127904346149872,0.002570542922186258,0.0,0.0,119424,119573
BraTS2021_00051,3.965224976951737e-05,1.9826517967779944e-05,0.0001339450155710931,6.697699340275867e-05,0.0,0.0,0.8467202813576249,0.7341846628104866,0.0015708293644824142,0.0007860320433487653,0.0,0.0,108726,120397
BraTS2021_00052,0.0021240332651014378,0.0010631457109786032,0.0027642674691204412,0.0013840466721560132,0.0,0.0,0.7930658805434221,0.657091275951748,0.02391988280217921,0.012104713059963777,0.0,0.0,164216,166614
BraTS2021_00053,0.0,0.0,0.0008274163443590576,0.00041387939746855826,0.0,0.0,0.8423674822716215,0.7276639774464859,0.01255494766136329,0.0063171294454605524,0.0,0.0,131650,127726
BraTS2021_00054,0.0026894164847997954,0.0013465189174867896,0.03729529606831324,0.01900199046428297,0.0,0.0,0.5722823953893111,0.4008372478851388,0.03966324776189802,0.020232874640856876,0.0,0.0,100486,100372
BraTS2021_00056,0.00048060748786458394,0.00024036150370152865,0.001774885371986101,0.0008882309400442655,0.0,0.0,0.7216165244723411,0.5644757917216433,0.03407549728751939,0.01733306504929553,0.0,0.0,104443,104581
BraTS2021_00058,0.0,0.0,0.0,0.0,0.0,0.0,0.7771382792568935,0.6355078960069528,0.028055108248334924,0.014227125902800338,0.0,0.0,27410,27628
BraTS2021_00059,0.0,0.0,2.0691724344846137e-05,1.034596921039456e-05,0.0,0.0,0.8500862642242567,0.7392609008629505,0.017874640986651643,0.009017916503297845,0.0,0.0,119934,117655
BraTS2021_00060,7.731602926963538e-05,3.865950913468759e-05,0.009406388135526895,0.004725418628625297,0.0,0.0,0.8215818226498359,0.6971903849084169,0.012029394207611534,0.006051092592899138,0.0,0.0,240373,245216
BraTS2021_00061,0.0,0.0,0.0035746201966014484,0.0017905102954328628,0.0,0.0,0.7005950337565223,0.5391660428864694,0.033166109253050365,0.016862689528120135,0.0,0.0,19464,21576
BraTS2021_00062,0.0,0.0,0.0,0.0,0.0,0.0,0.9513441680282769,0.9072034303566721,0.0009252986566645523,0.0004628634718066171,0.0,0.0,124308,121189
BraTS2021_00063,0.0,0.0,0.00013581420616587273,6.791171477075184e-05,0.0,0.0,0.6525125764048649,0.48424390831340197,0.01770945702983742,0.008933835200213626,0.0,0.0,24738,22309
BraTS2021_00064,0.019452553311251397,0.009821806260573999,0.005922289952114028,0.002969939397182174,0.0,0.0,0.819155462255769,0.6937030541044826,0.039664304073522116,0.02023342438539655,0.0,0.0,101426,101940
BraTS2021_00066,0.0,0.0,0.0,0.0,0.0,0.0,0.9033683203420515,0.8237663903926449,0.010367079234102834,0.005210548702678326,0.0,0.0,38714,37652
BraTS2021_00068,0.0,0.0,0.00024773100916601946,0.00012388084914689748,0.0,0.0,0.8524955505687094,0.7429126318344219,0.011081598263501073,0.005571670639592792,0.0,0.0,110080,104368
BraTS2021_00070,1.7090657392135127e-05,8.545401719334096e-06,0.00016359382924074767,8.180360590294151e-05,0.0,0.0,0.8496436132415867,0.7385916425741725,0.03231540686105222,0.016423062402242568,0.0,0.0,156721,148760
BraTS2021_00071,0.0,0.0,0.00038397765948156314,0.00019202569652953844,0.0,0.0,0.7151668204554892,0.5566223162987001,0.01955275097302923,0.00987289663111999,0.0,0.0,92002,86626
BraTS2021_00072,0.0,0.0,9.773499157033311e-05,4.886988393401372e-05,0.0,0.0,0.6783477201351721,0.5132573298360671,0.02652912781855101,0.013442877821260194,0.0,0.0,74301,74961
BraTS2021_00074,0.005845422528178142,0.0029312785449104634,0.000804537592018933,0.0004024306813151164,0.0,0.0,0.8791458688341387,0.7843535071951703,0.0209965407787896,0.010609653399520731,0.0,0.0,181624,181824
BraTS2021_00077,0.0,0.0,6.226921472292925e-05,3.113557675542188e-05,0.0,0.0,0.867850153995579,0.7665506090544396,0.01103350955589812,0.005547358192763985,0.0,0.0,197218,194669
BraTS2021_00078,4.12762620217028e-05,2.063855695209365e-05,4.052520667854585e-05,2.0263013920686458e-05,0.0,0.0,0.8076115373076066,0.6773057292788905,0.008259920074872869,0.004147087342432439,0.0,0.0,68098,68178
BraTS2021_00081,4.0598420721425695e-05,2.029962242701874e-05,0.0004947009913045846,0.0002474116930572002,0.0,0.0,0.7496609919954786,0.5995661874069659,0.006013386320852592,0.0030157606272778153,0.0,0.0,79806,77078
BraTS2021_00084,0.00028247922600685427,0.00014125956444964303,0.0017039922103209097,0.0008527226215127658,0.0,0.0,0.7057095146410036,0.5452481669485977,0.0305945204279685,0.015534901646875153,0.0,0.0,67070,69478
BraTS2021_00085,0.012297673242284349,0.006186878727633211,0.0018503832936820183,0.0009260484191029335,0.0,0.0,0.8831576842886296,0.7907630932895879,0.015032923344512512,0.0075733867434425155,0.0,0.0,77413,64168
BraTS2021_00087,0.0012526860479681189,0.0006267355754396187,0.000175221704128401,8.761852839813006e-05,0.0,0.0,0.8549029861511444,0.7465769064209483,0.041797862246736546,0.021345019209657885,0.0,0.0,117717,117402
BraTS2021_00088,0.0003120087362445774,0.00015602870928248927,2.2642107527366085e-05,1.1321181931392356e-05,0.0,0.0,0.7884130015450233,0.6507275189898971,0.011742660836975912,0.005906006534304607,0.0,0.0,125245,119376
